name	source	hit_die	alignment	role	requirements	description	url
Stargazer	Paths of the Righteous pg. 30	d6.	Neutral good, chaotic good, or chaotic neutral.			The empyreal lord Pulura, the Shimmering Maiden, is said to dance among the lights of the aurora. Some of her worshipers seek her guidance in the starry skies, attuning themselves to the constellations of the Cosmic Caravan (Pathfinder Campaign Setting: Occult Mysteries 36). Beyond the stargazers’ interests in the heavens, though, they also train for the inevitable conflict with demons. Pulura’s bastion of worship in the Inner Sea region has traditionally been in the land of Sarkoris, which was consumed from within by the Worldwound at the advent of the Age of Lost Omens. Many of Pulura’s worshipers perished during that disastrous invasion from the Abyss, but those who survived remained behind and, over the past several decades, have grown in power. This prestige class’s specific defenses against demons and their ilk are a relatively recent addition to the traditions of the Puluran stargazer, but have served her worshipers well in helping them defend what little land they still control in the demon-blighted wastes of the Worldwound.Requirements<br>To qualify to become a stargazer, a character must fulfill all of the following criteria.	https://aonprd.com/PrestigeClassesDisplay.aspx?ItemName=Stargazer
Steel Falcon	Adventurer's Guide pg. 70	d10.	Any good.			The Steel Falcons are Andoran’s spiritual and physical vanguard, spreading the government’s philosophical ideologies by whatever means necessary. This can be anything from bribing a foreign noble with inside information, to breaking the chains of the enslaved, to orchestrating widespread rebellion in an unfriendly land. While they occasionally serve as envoys and diplomats, Steel Falcons must be skilled at a variety of techniques if they expect to survive in hostile lands and accomplish their missions. The ability to utilize traps is as important to the Steel Falcon as the camaraderie she shares with her fellows. And while manipulating an enemy’s emotions and seeking diplomatic solutions can solve some problems, others present no solution other than battle.<br>Among the Eagle Knights, Steel Falcons have a reputation for being egotistical and self-aggrandizing. While the Steel Falcons are regarded as the faces and voices of the Andoren people by most non-Andorens, the perception that they are braggarts is more often than not the result of cordial rivalry among the branches. Steel Falcons, while occasionally braggadocios, are more aptly characterized by their shared zeal, dedication, selflessness, and diplomatic acumen. They are certainly aware of their reputation among the other branches of the Eagle Knights, but bear this knowledge stoically and patiently, knowing that all three branches of the group are necessary to ensure Andoran’s continued success—they do not hold grudges.Requirements<br>To become a Steel Falcon, a character must fulfill the following criteria.	https://aonprd.com/PrestigeClassesDisplay.aspx?ItemName=Steel%20Falcon
Storm Kindler	Adventurer's Guide pg. 180	d8.	Any neutral.			Those who focus their studies on the Eye of Abendego can unlock and master potent techniques to augment their already impressive command of storm and wind. These scions of the hurricane take the name of Storm Kindler as more than merely the organization they belong to—they seek to develop not only power to manipulate storms, but also the ability to awaken the storms within their own bodies, physically transforming into vortexes of destruction.<br>The first to learn these secrets were among the original members of the organization that braved the Eye of Abendego a century ago. For generations, the methods of kindling storms in this way were lost, but the current incarnation of the organization has recovered those secrets, and today the lore has spread far and wide—many of those who join the Storm Kindler sect seek to gain power as actual Storm Kindlers.<br>While some of those who successfully take levels in this prestige class arrogantly proclaim themselves the true heart of the Storm Kindler organization, most instead view themselves as embodying the spirit of the storm but understand that, just as no two storms are alike, no two members of their organization need be identical in outlook or power. Their more open-minded approach and willingness to work with diverse groups frustrates and worries the traditionalists among their kind, and a powerful and vocal minority increasingly threatens to force a schism on the organization as a whole.Requirements<br>To qualify to become a Storm Kindler, a character must fulfill the following criteria.	https://aonprd.com/PrestigeClassesDisplay.aspx?ItemName=Storm%20Kindler
Student of Perfection	Adventurer's Guide pg. 102	d10.	Any lawful.			Even the masters of the Houses of Perfection consider themselves students, as imperfect beings always have more to learn. As a result of their continued training, these masters have developed powers unique to their monasteries.Requirements<br>To qualify to become a student of perfection, a character must fulfill the following criteria.	https://aonprd.com/PrestigeClassesDisplay.aspx?ItemName=Student%20of%20Perfection
Student of War	Adventurer's Guide pg. 142	d10.				To hear most warriors talk, battles are won by sharp iron and mighty thews. Yet the student of war knows that the key to victory is the mind behind the mettle, the training that guides the blade, and the discernment of when and where to strike. Any dedicated martial scholar can join this prestige class, but the Pathfinder Society draws the lion’s share. The Society’s libraries are a treasure trove to the aspiring student of war, home to obscure combat manuals, moldy bestiaries, and detailed histories of battle. Armed with these texts and hardened by constant drilling, the student of war fills her repertoire with tricks and techniques designed to exploit every weakness and negate every advantage of her foes.<br>The path of the student of war is particularly enticing to martially minded characters who seek to enhance and expand their mastery of skills. Students of war often pride themselves in studying topics that combat-focused types might not normally find value in, and their ability to draw upon unexpected lore and information has become something of a legend among their kind. This might be demonstrated by a heavily armored fighter’s training in Acrobatics allowing her to outmaneuver an overly confident swashbuckler, a rugged barbarian masterfully manipulating a magic wand via Use Magic Device, or similar unexpected techniques.Requirements<br>To qualify to become a student of war, a character must fulfill the following criteria.<br>Base Attack Bonus: +5.<br>Feats: Combat Expertise, Dodge, Skill Focus (any one Knowledge skill).<br>Proficiency: Must be proficient with two martial weapons.<br>Skills: Knowledge (any two) 4 ranks in each.<br>Special: Must have succeeded at Knowledge checks against five distinct creatures prior to defeating them.Class Skills<br>The Student of War's class skills are Climb (Str), Craft (Int), Disable Device (Dex), Handle Animal (Cha), Knowledge (all) (Int), Linguistics (Int), Perception (Wis), Profession (Wis), Sense Motive (Wis), Spellcraft (Int), Survival (Wis), and Swim (Str).<br>Skill Points at each Level: 6 + Int modifier.	https://aonprd.com/PrestigeClassesDisplay.aspx?ItemName=Student%20of%20War
Tattooed Mystic	Paths of Prestige pg. 56	d6.				The tattooed mystics of Varisia are renowned throughout Avistan for both the artistry with which they adorn their bodies and the powerful magic they summon from these markings. Many learn the ways of tattooing from their forebears, the craft having been passed down through generations of Varisian wanderers and fortune-tellers. Others are born with what the Varisians call “birth tattoos”—incredibly elaborate and colorful birthmarks; those so blessed almost always grow up to become tattooed mystics. Regardless of how their fascination with the art begins, those seeking the powers of the tattooed mystic invariably turn to the runes of ancient Thassilon and the study of magic, combining the two into an elaborate and dangerous form of spellcraft.Requirements<br>To qualify to become a tattooed mystic, a character must fulfill all the following criteria.<br>Feats: Varisian Tattoo (The Inner Sea World Guide 289).<br>Skills: Craft (tattoo) 5 ranks, Spellcraft 5 ranks.<br>Spells: Able to cast 2nd-level spells.<br>Special: Able to speak Thassilonian.Class Skills<br>The Tattooed Mystic's class skills are Knowledge (arcana) (Int), Knowledge (history) (Int), Linguistics (Int), and Spellcraft (Int).<br>Skill Points at each Level: 2 + Int modifier.	https://aonprd.com/PrestigeClassesDisplay.aspx?ItemName=Tattooed%20Mystic
Technomancer	Technology Guide pg. 14	d6.				The true power in Numeria lies with the Technic League, not the Black Sovereign, and it is technomancers who rule the League. They master the art of blending magic and super-science, unlock the secrets of stolen technology, and devise cunning new inventions from the remnants of ruined devices.Requirements<br>To qualify to become a technomancer, a character must fulfill all the following criteria.<br>Feats: Skill Focus (Knowledge [engineering]), Technologist.<br>Skills: Disable Device 6 ranks, Knowledge (engineering) 6 ranks, Spellcraft 6 ranks.<br>Special: Ability to cast 3rd-level arcane spells.Class Skills<br>The Technomancer's class skills are Appraise (Int), Craft (Int), Disable Device (Dex), Fly (Dex), Intimidate (Cha), Knowledge (all) (Int), Linguistics (Int), Perception (Wis), Profession (Wis), and Spellcraft (Int).<br>Skill Points at each Level: 4 + Int modifier.	https://aonprd.com/PrestigeClassesDisplay.aspx?ItemName=Technomancer
Thuvian Alchemist	People of the Sands pg. 26	d6.				Thuvian alchemy evolved from the herbalism and horticulture of the ancient Tekritanin League. Their cultivars and gardeners were renowned, but such peaceful pursuits waned in prominence when the expansionist pharaohs of Osirion remade the land into a staging ground for war against the Jistka Imperium to the west. The old ways nearly became extinct, yet the lore of the desert’s delicate blooms never entirely disappeared.<br>Though the great libraries and conservatories were gone, simple tribal botanists passed what they could from generation to generation. Even the most warlike clan chiefs realized careful cultivation was the key to survival in this harsh and unforgiving land. Then, when Artokus Kirran discovered the sun orchid elixir in 1140 ar, the long-neglected art of herbalism and the reinvigorated science of alchemy intertwined to create something entirely new—a practice that has since flourished in modern Thuvia and given rise to the renowned Thuvian alchemists.Requirements<br>To qualify to become a Thuvian alchemist, a character must fulfill all the following criteria.<br>Feat: Brew Potion.<br>Skills: Craft (alchemy) 5 ranks, Knowledge (nature) 5 ranks, Profession (herbalist) 5 ranks, Spellcraft 5 ranks.<br>Special: Ability to cast 2nd-level arcane spells or create 2nd-level extracts.Class Skills<br>The Thuvian Alchemist's class skills are Heal (Wis), Knowledge (nature) (Int), Spellcraft (Int), Survival (Wis), and Use Magic Device (Cha).<br>Skill Points at each Level: 2 + Int modifier.	https://aonprd.com/PrestigeClassesDisplay.aspx?ItemName=Thuvian%20Alchemist
Twilight Talon	Adventurer's Guide pg. 72	d8.	Any nonevil.			Of all the members of the Eagle Knights, Twilight Talons often pay the highest price for the freedom the Eagle Knights work so hard to achieve, sacrificing years of their lives to serve as spies in nations whose cultures make their stomachs turn, and never receiving credit for or acknowledgment of their accomplishments—or even their existence. Perhaps even more exhausting are the moral and ethical choices a Twilight Talon has to make on so many of her missions. Often, such choices end up being difficult decisions made between two evils, and in many cases, a Twilight Talon ends up having to deal with the consequences of such decisions for months or even years to come. Yet to make no decision at all in such a time is perhaps the greatest evil of all, for to the Twilight Talon, acting in the best of intentions is always a better option than remaining quiet and allowing evil and cruelty to continue unopposed. Being selected to serve as a Twilight Talon is an honor bestowed on only the select few who Marshal Helena Trellis, head of the Talons, believes trustworthy enough to carry out the commitment and of strong enough character to be able to make morally difficult decisions for the best of Andoran—all without public recognition. To a Twilight Talon, a job well done is one that no one outside of the Talons ever knew occurred in the first place.<br>A candidate for the Twilight Talons rarely meets her commanding officer in person—it’s only after she’s been accepted into the fold that she begins to learn details about others in the group, and even then, only on a need-to-know basis. Twilight Talons train carefully in the arts of intrigue and spycraft, but they also endeavor to keep their combat skills up to snuff so that when the perfect opportunity arises, they are prepared to take swift and brutal advantage. When on a mission for the group, a Twilight Talon might tell friends and family that she’s leaving under some false pretense, but more often she just disappears for months or even years at a time. When a Twilight Talon works with a group of like-minded allies (as is the case when one works with an adventuring group), she may or may not reveal her true allegiance to her companions, but if she does, she must be prepared for the repercussions if those she trusts as allies do not keep her secret.Requirements<br>To qualify to become a Twilight Talon, a character must fulfill the following criteria.	https://aonprd.com/PrestigeClassesDisplay.aspx?ItemName=Twilight%20Talon
Ulfen Guard	Inner Sea Combat pg. 34	d10.				After centuries of raiding and pillaging throughout Avistan, the Ulfen have earned their reputation for ferocity and fearlessness. Though seemingly at odds with this perception of barbarism, Ulfen are also known for their staunch loyalty, strong sense of honor, and unyielding resolve. The combination of these reputations is in large part why they have become desired as bodyguards throughout the region. Nowhere is this practice more pronounced than in Taldor, where Ulfen have become ensconced in the Taldan tradition and adopted as the elite bodyguards of Grand Prince Stavian III himself. Ulfen Guards, as outsiders, are generally thought to have no ulterior motives or secret loyalty to other Taldan families or political organizations; their honor keeps them loyal to the crown. An Ulfen Guard is required to be of at least half- Ulfen descent, with one or both parents hailing from the Lands of the Linnorm Kings. Non-Ulfen may serve the organization in a support capacity, but may not be Ulfen Guards themselves. While the Ulfen Guards are officially Stavian III’s personal bodyguards, he often has them perform other tasks that take them all over the Inner Sea region, protecting his interests as well as his person, or operating secretly under the auspices of traveling Ulfen merchants, raiding seafarers, or unaffiliated mercenaries, all the while serving the Taldan crown.Requirements<br>To qualify to become an Ulfen Guard, a character must fulfill all of the following criteria.<br>Base Attack Bonus: +5.<br>Skills: Knowledge (nobility) 2 ranks, Perception 5 ranks, Sense Motive 3 ranks.<br>Special: Ulfen descent.Class Skills<br>The Ulfen Guard's class skills are Diplomacy (Cha), Knowledge (nobility) (Int), Perception (Wis), Sense Motive (Wis).<br>Skill Points at each Level: 4 + Int modifier.	https://aonprd.com/PrestigeClassesDisplay.aspx?ItemName=Ulfen%20Guard
Umbral Court Agent	Paths of Prestige pg. 58	d8.	Lawful evil.			Zon-Kuthon’s agents in the mortal realm preserve the god’s grip on the shadowy nation of Nidal through darkness and horror. The rare few Kuthites gifted with the right to rule are known as the Umbral Court, and Umbral Court agents are their enforcers. Officially, Umbral Court agents operate primarily in the blasted city of Ridwan or the capital of Pangolais. In truth, however, Umbral Court agents operate throughout all of Nidal and its neighboring nations. Some work in the open as diplomats and consuls, others in secret as spies, agitators, and agents provocateur. Most agents in Nidal spend their time hunting down apostates and heretics, seeking to purge the nation of inappropriate influences. Those acting abroad seek out positions in rival nations’ halls of power. Regardless of their methods, all serve the greater glory of Nidal—and the will of their dark god—with blind devotion.<br>Umbral Court agents’ loyalty to their overlords and ideals does not extend to other agents. Many an agent has fallen to a poisoned dagger from a rival seeking greater power. These minor treacheries are overlooked, or even rewarded, by superiors, so long as they do not interfere with the relative peace and order of Nidal. Agents who thirst for power often make deals with dark entities in order to stay one step ahead of their so-called allies, and in Pangolais it is not uncommon for agents to transform themselves into vampires or other types of undead.Requirements<br>To qualify to become an Umbral Court agent, a character must fulfill all of the following criteria.	https://aonprd.com/PrestigeClassesDisplay.aspx?ItemName=Umbral%20Court%20Agent
Veiled Illusionist	Paths of Prestige pg. 60	d6.				Many who seek to master the art of illusion turn to Sivanah, goddess of mysteries, reflections, and veils. She awards powerful insights into the nature of illusion and deception to those who are especially devout in their worship, possess exceptional skill in a craft, or simply manage to catch her eye. These rare few are known as veiled illusionists, the favored disciples of the Seventh Veil.<br>While skilled in all forms of illusion, veiled illusionists primarily excel at casting glamers—spells that alter or conceal the illusionist’s true form. Most veiled illusionists are uncomfortable with maintaining one disguise for an extended period of time. Instead, they prefer to change their appearance from day to day, or even from hour to hour. This makes it difficult for veiled illusionists to integrate fully into society, so most end up wanderers, taking on a new face with each new town they visit.Requirements<br>To qualify to become a veiled illusionist, a character must fulfill all the following criteria.<br>Feats: Spell Focus (illusion).<br>Skills: Bluff 5 ranks, Disguise 5 ranks, Knowledge (arcana) 2 ranks.<br>Spells: Able to cast three different illusion spells, one of which must be of 2nd level or higher.Class Skills<br>The Veiled Illusionist's class skills are Bluff (Cha), Disguise (Cha), Knowledge (arcana) (Int), Knowledge (religion) (Int), Spellcraft (Int), and Stealth (Dex).<br>Skill Points at each Level: 2 + Int modifier.	https://aonprd.com/PrestigeClassesDisplay.aspx?ItemName=Veiled%20Illusionist
Westcrown Devil	Adventurer's Guide pg. 48	d8.	Any nonlawful.			The Council of Thieves’ premier agents—called “devils” as an ironic nod to Cheliax’s infernal rulers—are steeped in the lore and mystery of the Council’s home city of Westcrown.Requirements<br>To qualify to become a Westcrown devil, a character must fulfill the following criteria.	https://aonprd.com/PrestigeClassesDisplay.aspx?ItemName=Westcrown%20Devil
Winter Witch	Reign of Winter Player's Guide pg. 12	d6.				In the minds of the folk of the arctic north, the otherworldly powers of winter witches are inextricably linked with the frozen realm of Irrisen and its cruel aristocracy. These rulers, the Jadwiga, have the bitter blood of Baba Yaga running through their veins, and possess unique abilities that make them unparalleled in their power over ice, snow, and cold.<br>Not all winter witches have a blood connection to the nobility of Irrisen. Some have their craft passed down to them by wizened mentors, and others hear their calling in the howling winds of a freezing winter’s night. Of those winter witches who live outside Irrisen, many subsist on the fringes of civilization or in the wild, often concealing their powers lest they be seen as Irriseni spies. This is particularly true in the lands of the Linnorm Kings, where memories of the Winter War with Irrisen fuel long-held hatreds, as well as in the Realm of the Mammoth Lords, whose superstitious tribespeople deeply distrust most forms of arcane magic.Requirements<br>To qualify to become a winter witch, a character must fulfill all the following criteria.<br>Skills: Knowledge (arcana) 5 ranks, Spellcraft 5 ranks.<br>Spells: Able to cast at least three different spells with the cold descriptor, one of which must be of 3rd level or higher.<br>Special: Must have a patron and the ice magic class feature (Inner Sea Magic 43).Class Skills<br>The Winter Witch's class skills are Bluff (Cha), Intimidate (Cha), Knowledge (arcana) (Int), Knowledge (nobility) (Int), Survival (Wis), and Use Magic Device (Cha).<br>Skill Points at each Level: 2 + Int modifier.	https://aonprd.com/PrestigeClassesDisplay.aspx?ItemName=Winter%20Witch
